county,date,bars_visit_prop,completely_home_prop,full_time_work_prop,median_home_dwell_time,part_time_work_prop,restaurants_visit_prop,sgCH_ks,sgCH_sm,sgCH_roll7,sgFT_ks,sgFT_sm,sgFT_roll7,sgPT_ks,sgPT_sm,sgPT_roll7,sgHD_ks,sgHD_sm,sgHD_roll7,sgRES_ks,sgRES_sm,sgRES_roll7
adams,2020-03-01,NA,0.34685366001011,0.02119369565779,711.45736434109,0.05197932342168,406.8460314955,0.242612630140635,0.2235300270139154,NA,0.06489238726366496,0.06381348173809565,NA,0.10287542874431069,0.10558032645045207,NA,553.9933110313734,578.3285252499104,NA,351.6796997607334,377.25815934152195,NA
adams,2020-03-02,NA,0.26264745113737,0.071776681460739,573.97286821705,0.10143756030504,258.06399481209,0.2419598999257751,0.22885649817097212,NA,0.06471243644509168,0.06292172741484907,NA,0.10324559867269045,0.10400417770795718,NA,558.3669894365217,574.3058614697131,NA,351.1541334927685,370.0867818043604,NA
adams,2020-03-03,NA,0.21751742284141,0.080803838126197,534.68217054264,0.11833610336699,292.56661001214,0.24265843102153595,0.23461878814072762,NA,0.06440038451898888,0.06203664852875899,NA,0.10329504852850792,0.10242941595976908,NA,563.6981407783476,572.909193047256,NA,349.2609926874472,362.0267490254394,NA
adams,2020-03-04,NA,0.235960658852,0.069156330004213007,552.08139534884,0.11843339702044,283.48471383758,0.24464085119314272,0.2407727609617014,NA,0.06396470696749816,0.06115930504585057,NA,0.1030378760049191,0.1008590914691135,NA,569.896394063166,573.8985337993053,NA,345.87118431257966,353.12419409280415,NA
adams,2020-03-05,NA,0.20571664872661,0.072952703673453,522.50387596899,0.11605860038773,309.39609158706,0.2478211382466191,0.2472734135948285,NA,0.0634137197428937,0.060290719736423436,NA,0.1024899317532965,0.09929617651754012,NA,576.8704586357561,577.0254202790571,NA,340.89790163022917,343.4393240311975,NA
adams,2020-03-06,NA,0.20464695380894,0.06826060840565,493.81782945736,0.11348201187995,427.1975598986,0.2521092934115117,0.2540751873255014,NA,0.0627559854464196,0.059431876438601275,NA,0.10167234705116497,0.0977435587217182,NA,584.5348433449045,582.0346521722289,NA,334.3069997207825,333.0455065910252,NA
adams,2020-03-07,NA,0.24422960573156,0.021685770685569,581.04651162791,0.055829595055399,504.79237640719,0.2574085324490999,0.26113229795373505,0.24536748587257143,0.062000839519985765,0.058583718424083775,0.05797566114480157,0.10060541429992682,0.09620403461271364,0.09650808449103271,592.7993974866811,588.6666421458619,567.0802879291257,326.1164763891898,322.0280300327347,354.6210540071657
adams,2020-03-08,NA,0.30208001802041,0.026227441506887,661.54263565891,0.062519702523547993,394.60060623935,0.2636103728508559,0.2683990781389181,0.2389712513026143,0.06115816921715591,0.05774714687517498,0.05869476769467257,0.09931093265078106,0.09468030351452458,0.09801385293415671,601.58498540357,596.6607426738336,559.9496124031,316.3917251328195,310.4825487858555,352.87170754200145
adams,2020-03-09,NA,0.24151793678198,0.088968587392433,548.36434108527,0.12857672333102,257.126580468,0.2706017005167237,0.2758303245483131,0.23595274925184428,0.060238910172907216,0.056923019481782036,0.06115075425634314,0.09781462587528932,0.09317496175724774,0.10189087622358242,610.8288076593495,605.759811335503,556.2912513842743,305.2456669263618,298.5132432678908,352.7377912071314
adams,2020-03-10,NA,0.23363024847802,0.093178704612285,599.49612403101,0.13399030605715,256.60167902264,0.2782624245909248,0.28338164198212357,0.2382545814856457,0.05925350778429368,0.056112149166630314,0.06291859232578428,0.09614248420918503,0.09169049725848162,0.10412719089360528,620.4565310891077,615.7160689185743,565.5503875968985,292.83653005968216,286.23073753707104,347.59994392291713
adams,2020-03-11,NA,0.22821005589402,0.086320216208944,629.22868217054,0.14868899108701,288.06017023117,0.28646889297562067,0.2910097764551886,0.23714735249164856,0.05821239169926057,0.05531530294640493,0.06537057606931729,0.09432210105928263,0.09022928450446271,0.108449418617401,630.4056415650526,626.2980288562954,576.5714285714271,279.3614740040336,273.7498325298174,348.25358055057285
adams,2020-03-12,NA,0.26090001517412,0.094325565637804,558.73255813953,0.12252713964901,278.07411677902,0.29509517981496863,0.2986729293370563,0.24503069055557858,0.05712611714443122,0.054533200935913725,0.06842384206422457,0.09238106155386817,0.0887935799599595,0.10937349565472672,640.61851171756,637.2979854347036,581.74695459579,265.0531034923341,261.1871240537437,343.77901272085285
adams,2020-03-13,NA,0.25602319228198,0.070946120115807,568,0.11263946737898,328.96412751065,0.30401698406954736,0.30633104510365994,0.2523701531945843,0.05600493783083536,0.05376651550167739,0.068807486594247,0.09034714168683615,0.08738551793317524,0.10925313215458814,651.0437982492964,648.5392982165955,592.3444075304528,250.1713549118239,248.65858224985115,329.74566523685996
adams,2020-03-14,NA,0.33329649346755,0.034396176668151,748.0503875969,0.066073593859447,324.02100459294,0.3131113703073122,0.31394606603234537,0.2650939942997257,0.05485883777172878,0.053015870570584225,0.070623258877473,0.0882477538895901,0.08600710691880818,0.11071656055516643,661.6349008957242,659.8825419586252,616.2021040974514,234.9946883038628,236.2771720038932,303.92118354910997
adams,2020-03-15,NA,0.3710732291518,0.03201802156887,797.31782945736,0.061975329324509,248.25917499356,0.3222610642521799,0.32148214825480304,0.2749501673184957,0.05369772068253921,0.05228184109840926,0.07145048460061343,0.0861095504662856,0.08466022643904642,0.11063879295530371,672.3500962952985,671.2295236036503,635.5985603543728,219.81119196172295,224.1505913853742,283.0152647997114
